datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,Day,Weekday_Name,is_weekend,Total_Sales,Season
2014-01-02,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,1,Thursday,2,Thursday,0,48.47,Winter
2014-01-03,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,1,Friday,3,Friday,0,107.0,Winter
2014-01-04,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,1,Saturday,4,Saturday,1,91.35,Winter
2014-01-05,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,1,Sunday,5,Sunday,1,66.1,Winter
2014-01-06,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,1,Monday,6,Monday,0,58.2,Winter
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday,7,Tuesday,0,0.0,Winter
2014-01-08,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,Wednesday,8,Wednesday,0,75.22999999999999,Winter
2014-01-09,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,1,Thursday,9,Thursday,0,62.68,Winter
2014-01-10,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,1,Friday,10,Friday,0,81.3,Winter
2014-01-11,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,Saturday,11,Saturday,1,87.24,Winter
2014-01-12,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,1,Sunday,12,Sunday,1,27.16,Winter
2014-01-13,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,1,Monday,13,Monday,0,90.2,Winter
2014-01-14,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,Tuesday,14,Tuesday,0,62.330000000000005,Winter
2014-01-15,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,1,Wednesday,15,Wednesday,0,58.04,Winter
2014-01-16,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,1,Thursday,16,Thursday,0,65.6,Winter
2014-01-17,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,1,Friday,17,Friday,0,58.379999999999995,Winter
2014-01-18,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,1,Saturday,18,Saturday,1,83.33,Winter
2014-01-19,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,1,Sunday,19,Sunday,1,32.43,Winter
2014-01-20,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,1,Monday,20,Monday,0,59.54,Winter
2014-01-21,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,1,Tuesday,21,Tuesday,0,69.34,Winter
